True lang,Predicted lang,0
ace,ita,1
ace,wol,1
afr,zea,1
als,bar,3
als,deu,3
als,ksh,1
als,nds,1
als,pfl,5
amh,chr,3
amh,khm,3
amh,kin,1
amh,pam,1
amh,sin,3
ang,bjn,1
ang,mrj,1
ang,pam,1
ang,pcd,1
ang,rup,1
ang,zh-yue,1
ara,arz,3
arg,mwl,1
arz,ara,15
arz,lrc,1
arz,yor,1
asm,bho,1
asm,eng,1
ast,arg,1
ast,olo,1
ava,lez,10
ava,nci,2
ava,pcd,4
ava,rue,1
ava,rus,5
aym,ast,1
aym,ilo,1
aym,pap,1
aym,que,2
aym,sna,1
aym,spa,4
aym,szl,1
aze,gag,1
aze,hsb,1
bak,kir,1
bak,mhr,1
bar,als,5
bar,bxr,1
bar,deu,1
bar,eng,1
bar,hbs,1
bar,kin,1
bar,nds,1
bar,pdc,2
bar,sna,1
bcl,cbk,2
bcl,eng,2
bcl,pag,1
bcl,tgl,1
bcl,tsn,1
be-tarask,bel,22
be-tarask,rus,1
bel,be-tarask,31
bel,rue,1
bel,rus,2
bel,ukr,1
ben,hif,1
ben,kat,1
ben,koi,1
ben,nld,1
ben,swa,1
bho,ace,1
bho,hin,7
bho,mai,5
bho,new,1
bjn,ind,2
bjn,map-bms,3
bjn,msa,1
bod,sna,1
bos,hbs,22
bos,hrv,41
bos,srp,1
bre,cym,1
bre,hrv,1
bre,oci,1
bre,tet,1
bul,ast,1
bul,dsb,1
bul,epo,1
bul,pdc,1
bul,rus,1
bxr,asm,1
bxr,bel,2
bxr,koi,1
bxr,lin,1
bxr,mon,8
bxr,pcd,1
bxr,rus,2
bxr,sah,1
bxr,swa,1
bxr,tyv,1
bxr,udm,1
cat,lav,1
cat,pdc,1
cbk,eng,1
cbk,ext,1
cbk,ina,2
cbk,lad,4
cbk,mwl,1
cbk,pap,1
cbk,roa-tara,1
cbk,spa,10
cdo,hak,1
cdo,lat,1
cdo,wuu,1
cdo,zh-yue,1
cdo,zho,2
ces,hrv,3
ces,slk,1
ces,swa,1
che,ava,1
chr,hif,1
chr,sin,15
chv,mhr,2
chv,myv,1
chv,rus,1
ckb,chr,1
ckb,glk,1
ckb,snd,1
cor,fao,1
cor,glv,1
cos,lij,3
cos,lmo,1
cos,roa-tara,1
cos,scn,8
cos,sme,1
cos,srd,1
crh,gag,6
crh,kaa,1
csb,dsb,1
cym,gle,1
dan,afr,1
dan,als,1
dan,dsb,1
dan,kab,1
dan,nob,1
dan,roh,1
deu,als,2
deu,bar,1
deu,kom,1
deu,nds,1
deu,roh,1
deu,rus,1
diq,asm,1
diq,hbs,1
diq,kur,5
diq,rup,1
diq,som,1
diq,tet,1
div,amh,1
div,chr,1
div,khm,1
div,lao,5
div,sin,29
div,snd,1
dsb,csb,1
dsb,hsb,10
dsb,hye,1
dsb,koi,1
dsb,nap,1
dsb,szl,4
dsb,tet,1
dty,bho,1
dty,mai,8
dty,nep,13
dty,pam,1
dty,san,1
egl,fur,2
egl,ina,1
egl,ita,1
egl,lij,8
egl,lmo,2
egl,nap,1
egl,roa-tara,1
egl,roh,5
eng,ang,2
eng,asm,2
eng,bcl,1
eng,cbk,1
eng,hif,1
eng,ibo,1
eng,kok,1
eng,lao,1
eng,mar,1
eng,ori,1
eng,pus,1
eng,sco,2
eng,tgl,1
eng,tsn,1
eng,xho,2
eng,yor,1
eng,zh-yue,1
epo,ido,1
epo,khm,1
epo,nds-nl,1
epo,tet,1
est,eng,1
est,glv,1
eus,spa,1
ext,arg,1
ext,ast,5
ext,aym,1
ext,cdo,1
ext,ina,2
ext,lin,1
ext,mwl,8
ext,nap,1
ext,oci,1
ext,scn,1
ext,sna,1
ext,vec,1
fao,gle,1
fao,isl,10
fas,glk,3
fas,lrc,3
fin,olo,1
fin,sme,1
fra,ara,1
fra,heb,1
fra,hin,1
fra,lin,1
fra,nrm,1
fra,oci,13
fra,pcd,2
fra,ukr,1
frp,egl,2
frp,fra,4
frp,hsb,1
frp,lad,1
frp,lij,1
frp,lin,1
frp,mwl,1
frp,nrm,7
frp,oci,6
frp,pcd,1
frp,roh,2
frp,rup,1
frp,wln,1
fry,afr,1
fry,lao,1
fry,zea,2
fur,lij,9
fur,roa-tara,1
fur,roh,11
fur,rup,1
gag,aze,1
gag,bho,1
gag,crh,1
gag,diq,1
gag,tur,2
gla,gle,6
gla,glv,1
gla,kok,1
gla,orm,1
gla,tet,1
gle,chr,1
glg,aym,1
glk,fas,1
glk,mzn,2
glv,cor,1
glv,lim,1
guj,ang,1
guj,asm,1
guj,ben,1
guj,cbk,1
guj,eng,2
guj,hif,1
hak,cdo,2
hak,diq,1
hak,egl,1
hak,nan,2
hak,zh-yue,1
hau,hif,1
hau,lin,1
hau,mlt,1
hbs,bar,1
hbs,bjn,1
hbs,bos,8
hbs,hrv,28
hbs,slv,1
hbs,srp,1
hif,ita,1
hif,kin,4
hif,kok,1
hif,nci,1
hif,som,2
hif,tsn,1
hif,wol,1
hif,zh-yue,1
hin,cbk,1
hin,mai,4
hin,orm,1
hrv,bos,4
hrv,hbs,25
hrv,stq,1
hsb,deu,1
hsb,dsb,7
hsb,pol,1
hsb,roh,1
hsb,szl,1
hsb,wol,1
hun,glg,1
hye,roa-tara,1
hye,rus,1
ibo,eng,1
ibo,hif,2
ibo,khm,1
ibo,kin,2
ibo,kom,1
ibo,lin,1
ibo,lug,1
ibo,ori,1
ibo,srn,1
ibo,swa,1
ibo,tsn,1
ido,epo,6
ile,epo,1
ile,fra,1
ile,ina,2
ile,lad,1
ile,roh,5
ilo,ang,1
ilo,bcl,1
ilo,glg,1
ilo,lao,1
ilo,lij,1
ilo,sna,1
ina,cos,1
ina,ext,1
ina,ido,1
ina,ile,4
ina,lad,1
ina,oci,1
ina,pcd,1
ina,tet,1
ina,wln,1
ind,ang,1
ind,asm,1
ind,bjn,1
ind,map-bms,12
ind,msa,2
ind,stq,1
ind,tet,1
ind,zh-yue,1
isl,est,1
isl,fao,3
ita,kin,1
ita,kur,1
ita,lin,1
ita,nap,1
ita,roa-tara,1
jam,ang,1
jam,hbs,1
jam,pag,1
jam,pap,1
jam,som,1
jam,srn,1
jav,bjn,1
jav,csb,1
jav,fra,1
jav,ind,1
jav,map-bms,15
jav,roh,1
jav,sun,2
jbo,lin,1
jpn,hrv,1
jpn,pus,1
jpn,rue,1
kaa,hau,1
kaa,mlt,1
kaa,xho,1
kab,deu,1
kab,fra,3
kab,hau,1
kab,kin,1
kab,pcd,1
kab,rup,2
kan,tcy,2
kat,bos,1
kat,bxr,1
kat,eng,1
kat,rus,1
kat,xmf,3
kbd,udm,1
khm,amh,24
khm,ang,1
khm,chr,2
khm,eng,1
khm,ibo,1
khm,kom,1
khm,lao,4
kin,aym,1
kin,diq,1
kin,eng,1
kin,lin,1
kin,lug,1
kin,nrm,1
kin,sna,1
kin,swa,1
kin,xho,1
kir,tyv,1
koi,ava,2
koi,kom,14
koi,mrj,1
koi,myv,4
koi,oss,1
koi,pcd,1
koi,udm,1
kok,ang,1
kok,asm,1
kok,eng,1
kok,kin,1
kok,mar,2
kok,pcd,1
kok,sna,2
kok,tcy,1
kom,bak,1
kom,koi,9
kom,mdf,1
kom,mhr,2
kom,mrj,3
kom,myv,3
kom,rue,1
kom,rus,1
kom,srn,1
kom,tyv,1
kom,udm,2
kom,xho,1
kom,yor,1
kor,lzh,2
kor,pam,1
krc,kir,1
krc,lez,1
krc,mhr,1
krc,mrj,1
krc,myv,1
krc,tyv,1
krc,udm,1
ksh,als,4
ksh,lim,1
ksh,mwl,1
ksh,nds,1
ksh,pfl,2
ksh,roh,1
kur,als,1
kur,dan,1
kur,diq,3
kur,lin,1
lad,ast,1
lad,aym,1
lad,cbk,1
lad,ext,1
lad,heb,1
lad,ita,1
lad,mwl,1
lad,oci,2
lad,spa,1
lad,srd,1
lao,amh,4
lao,bjn,1
lao,cat,1
lao,chr,2
lao,div,3
lao,eng,2
lao,glg,1
lao,khm,9
lao,kom,1
lao,rue,1
lao,sin,13
lao,tha,2
lao,zh-yue,1
lat,eng,1
lat,ilo,1
lat,lij,1
lat,ron,1
lat,srp,1
lat,wln,1
lav,ltg,1
lez,ava,2
lez,che,1
lij,cos,1
lij,egl,1
lij,lao,1
lij,nap,1
lij,scn,1
lij,wln,1
lim,fry,1
lim,nds-nl,4
lim,zea,10
lin,fra,2
lin,hye,1
lin,nav,1
lin,sna,1
lin,ton,1
lin,tsn,1
lin,tyv,1
lit,pol,1
lit,sgs,1
lmo,lij,2
lmo,roh,2
lmo,vec,2
lrc,fas,5
lrc,glk,9
lrc,mzn,3
lrc,pus,1
ltg,lav,4
ltz,als,1
ltz,bcl,1
ltz,cat,1
ltz,pdc,1
lug,bar,1
lug,bho,1
lug,kin,3
lug,sna,4
lug,som,1
lug,srn,1
lug,swa,1
lzh,zh-yue,2
mai,hif,1
mai,hin,1
mal,kat,1
map-bms,bjn,1
map-bms,ind,7
map-bms,jav,3
map-bms,myv,1
map-bms,tet,1
map-bms,vie,1
map-bms,xho,1
mar,hin,2
mar,kin,1
mar,kok,1
mar,xho,1
mdf,myv,7
mdf,sah,1
mhr,koi,3
mhr,krc,1
mhr,mdf,1
mhr,mrj,1
mhr,myv,1
mhr,rus,1
min,ace,1
min,msa,1
mkd,rup,1
mkd,srp,1
mlg,lin,1
mlt,ces,1
mlt,hrv,1
mlt,kab,1
mlt,rup,1
mon,bul,1
mon,bxr,2
mon,ell,1
mri,ilo,1
mri,ton,1
mrj,koi,5
mrj,kom,4
mrj,mhr,3
mrj,sme,1
mrj,udm,1
msa,ara,1
msa,bjn,1
msa,ind,7
msa,map-bms,2
msa,ori,1
msa,tet,1
mwl,ext,3
mwl,frp,1
mwl,lad,1
mwl,pap,1
mwl,wol,1
mya,sna,1
myv,koi,1
myv,mdf,8
myv,mhr,2
myv,rus,6
myv,tyv,1
myv,udm,2
mzn,fas,2
mzn,glk,11
mzn,lrc,4
mzn,nci,1
nan,hak,3
nan,tet,1
nan,wol,1
nap,cos,3
nap,egl,2
nap,hin,1
nap,lij,13
nap,roa-tara,10
nap,slv,1
nap,srd,2
nci,cbk,1
nci,ina,1
nci,spa,2
nds,als,1
nds,bar,1
nds,deu,1
nds,ksh,2
nds-nl,als,3
nds-nl,arg,1
nds-nl,hsb,1
nds-nl,ksh,2
nds-nl,lim,23
nds-nl,nld,3
nds-nl,stq,1
nds-nl,vls,4
nds-nl,zea,21
nep,dty,46
nep,hin,2
nep,mai,1
new,dty,2
new,mai,1
nld,lim,1
nld,mai,1
nld,nds-nl,1
nld,oci,2
nld,roh,2
nld,vls,1
nno,nob,6
nob,dan,1
nob,est,1
nob,ita,1
nob,nld,1
nob,nno,4
nob,som,1
nrm,fra,1
nrm,frp,2
nrm,oci,1
nrm,pcd,3
nso,eng,1
nso,kok,1
nso,kur,1
nso,lin,1
nso,pag,1
nso,tsn,5
oci,fra,3
oci,ina,1
oci,kin,1
oci,mlg,1
olo,vep,1
olo,vro,1
ori,bjn,1
ori,eng,1
ori,msa,1
orm,eng,1
orm,hbs,1
orm,ina,1
orm,kaa,1
orm,kab,1
orm,lin,1
orm,olo,1
orm,pus,1
orm,som,2
pag,bcl,4
pag,bho,1
pag,cbk,2
pag,ilo,1
pag,kab,1
pag,lao,1
pag,tgl,2
pag,tsn,1
pag,xho,1
pam,asm,1
pam,dan,1
pam,ile,1
pam,ilo,2
pam,pag,1
pam,tet,1
pam,zho,1
pan,mri,1
pap,ile,1
pap,ina,1
pap,jam,1
pap,srd,1
pap,tsn,2
pcd,ava,5
pcd,aym,1
pcd,fra,3
pcd,frp,3
pcd,ina,1
pcd,kab,1
pcd,lin,2
pcd,mwl,1
pcd,nrm,10
pcd,oci,3
pcd,pam,1
pcd,wln,2
pdc,als,3
pdc,bar,1
pdc,chr,1
pdc,eng,1
pdc,ksh,4
pdc,pfl,8
pdc,zea,1
pfl,als,23
pfl,bar,5
pfl,dsb,1
pfl,ksh,3
pfl,nds-nl,1
pfl,pdc,1
pfl,stq,2
pol,dsb,1
pol,zh-yue,1
por,ita,1
pus,eng,6
pus,glk,1
pus,lrc,1
pus,snd,3
que,aym,1
que,cbk,1
que,nci,1
que,som,1
que,spa,1
que,uzb,1
que,yid,1
roa-tara,cos,1
roa-tara,ina,1
roa-tara,ita,2
roa-tara,lij,2
roa-tara,myv,1
roa-tara,nap,4
roa-tara,srd,1
roa-tara,vec,2
roh,dsb,1
roh,fur,1
roh,lij,1
roh,vec,2
ron,ang,1
ron,rup,1
rue,be-tarask,1
rue,koi,1
rue,rus,1
rue,ukr,4
rup,ace,1
rup,ell,1
rup,ron,1
rus,ava,1
rus,bul,1
rus,koi,1
rus,mhr,1
rus,rue,1
rus,sah,1
sah,be-tarask,1
sah,lez,1
sah,myv,2
sah,tyv,1
sah,udm,1
san,mai,4
san,orm,1
scn,cos,2
scn,nap,1
scn,roa-tara,1
sco,eng,1
sco,sah,1
sco,vro,1
sin,amh,2
sin,ben,1
sin,chr,6
sin,ckb,1
sin,div,1
sin,eng,1
sin,lao,3
sin,tsn,1
slk,ces,1
slk,dsb,1
slk,fry,1
slv,orm,1
slv,pam,1
sme,est,1
sme,roh,1
sme,sgs,1
sna,eng,1
sna,guj,1
sna,kab,1
sna,kin,2
sna,sin,1
sna,xho,1
snd,ara,2
snd,pus,2
som,epo,1
som,ilo,1
som,lez,1
som,mal,1
som,orm,3
som,tet,1
spa,ast,1
spa,cbk,12
spa,ext,1
spa,fin,1
spa,fra,1
spa,glg,1
spa,lad,1
spa,lav,1
spa,nci,1
spa,orm,1
spa,que,1
spa,rus,1
sqi,bar,1
srd,cos,2
srd,dsb,1
srd,ext,1
srd,frp,1
srd,lij,4
srd,nap,1
srd,pap,1
srd,roa-tara,1
srd,roh,8
srd,rup,2
srd,scn,2
srd,tet,1
srn,jam,1
srn,nld,1
srn,rup,1
srp,bel,2
srp,hbs,6
stq,als,1
stq,cym,1
stq,ksh,2
stq,nds-nl,1
stq,pdc,2
stq,pfl,1
stq,sme,1
sun,epo,1
sun,ina,1
sun,map-bms,1
sun,ori,1
swa,ava,1
swa,bar,1
swa,fur,1
swa,hbs,1
swa,ibo,1
swa,kin,2
swa,orm,1
szl,dsb,4
szl,hsb,2
szl,lat,1
szl,pol,1
szl,rup,1
tam,eng,1
tel,ang,1
tel,eng,1
tel,ori,1
tel,sna,1
tet,cbk,1
tet,chr,1
tet,hau,1
tet,ind,2
tet,map-bms,1
tet,vep,1
tgk,krc,1
tgk,rus,1
tgl,bcl,1
tgl,glg,1
tgl,ibo,2
tgl,ind,1
tgl,pag,1
tha,bjn,1
tha,lao,5
ton,ava,1
ton,lin,1
tsn,khm,1
tsn,lao,1
tuk,gag,3
tur,crh,1
tur,gag,2
tur,ita,1
tyv,aym,1
tyv,bak,1
tyv,bul,1
tyv,kir,2
tyv,kom,1
tyv,krc,2
tyv,lez,1
tyv,mhr,1
tyv,myv,1
tyv,rus,3
tyv,sah,1
tyv,udm,2
udm,chv,1
udm,koi,1
udm,kom,5
udm,mhr,1
udm,mrj,2
udm,myv,2
udm,oss,1
udm,sgs,1
udm,sme,1
uig,amh,1
uig,div,1
ukr,rue,1
urd,ces,1
urd,hif,1
urd,ina,1
uzb,kaa,1
vec,ina,1
vec,lij,8
vec,lmo,1
vec,pap,1
vec,roa-tara,1
vec,roh,1
vec,scn,1
vep,ina,1
vep,kok,1
vep,lij,1
vep,mwl,1
vep,olo,2
vep,sme,1
vep,som,1
vep,vro,1
vie,cbk,1
vie,hak,1
vie,sin,2
vls,als,2
vls,bar,1
vls,epo,1
vls,ext,1
vls,lim,6
vls,nds-nl,5
vls,srn,1
vls,zea,9
vol,spa,1
vro,est,3
vro,ltg,1
vro,nap,1
vro,wol,1
wln,egl,1
wln,fur,1
wln,nrm,2
wln,pcd,1
wol,bar,1
wol,bre,1
wol,fra,1
wol,glk,1
wol,hau,1
wol,ibo,1
wol,kin,1
wol,lin,2
wol,tet,1
wuu,cdo,2
wuu,pcd,1
wuu,pdc,1
wuu,sme,1
wuu,zh-yue,10
wuu,zho,11
xho,ang,1
xho,eng,2
xho,ibo,1
xho,ita,1
xho,lin,1
xho,lug,1
xho,new,1
xho,sin,1
xho,tsn,1
xmf,bho,1
xmf,kat,5
xmf,wuu,1
yid,heb,1
yid,koi,1
yid,mhr,1
yid,rue,1
yid,sah,1
yor,eng,3
yor,hif,1
zea,lim,5
zea,lin,1
zea,mlt,1
zea,nds-nl,2
zea,pdc,1
zea,vls,5
zh-yue,eng,1
zh-yue,hbs,1
zh-yue,jpn,1
zh-yue,kab,1
zh-yue,khm,2
zh-yue,lat,1
zh-yue,pam,1
zh-yue,xho,1
zh-yue,zho,6
zho,msa,1
zho,zh-yue,1
